filepath,filename,label,label_id,width,height,format,color_mode,image_hash
C:\Users\admin\Downloads\Capstone Project\corn_pathology_ai-main\corn_pathology_ai-main\data\Blight\Corn_Blight (1).jpeg,Corn_Blight (1).jpeg,Blight,0,1000,585,JPEG,RGB,2bbad56655c8d47b75134f4bf35a3a4ef52195c94fd72804642a8f5447e62efe
C:\Users\admin\Downloads\Capstone Project\corn_pathology_ai-main\corn_pathology_ai-main\data\Blight\Corn_Blight (1).jpg,Corn_Blight (1).jpg,Blight,0,788,371,JPEG,RGB,315b8f4d4fe7c5a200bb5d9c075ecc450bcc2e8566dd8f57a9f0101dc5342587
C:\Users\admin\Downloads\Capstone Project\corn_pathology_ai-main\corn_pathology_ai-main\data\Blight\Corn_Blight (10).jpg,Corn_Blight (10).jpg,Blight,0,641,482,JPEG,RGB,0d24d3485ba1ebd0549ea5fd0310fcc65f8816555176e7d4117fe465c8142944
C:\Users\admin\Downloads\Capstone Project\corn_pathology_ai-main\corn_pathology_ai-main\data\Blight\Corn_Blight (100).jpg,Corn_Blight (100).jpg,Blight,0,300,200,JPEG,RGB,a54fd2d7e8739d5628d3b0b4dbdfd7d51097a0ed71e3ffbee0718d2742fef4a9
C:\Users\admin\Downloads\Capstone Project\corn_pathology_ai-main\corn_pathology_ai-main\data\Blight\Corn_Blight (1000).JPG,Corn_Blight (1000).JPG,Blight,0,256,256,JPEG,RGB,cd7119d358711fe3e76d82c7630c0e70719a2146f016557ea46e36a1a8816a5f
C:\Users\admin\Downloads\Capstone Project\corn_pathology_ai-main\corn_pathology_ai-main\data\Blight\Corn_Blight (1001).JPG,Corn_Blight (1001).JPG,Blight,0,256,256,JPEG,RGB,01c98955fb4e8d0f63048ba4c86dc141eacdaa5378c0f673fe57862473490ffa
C:\Users\admin\Downloads\Capstone Project\corn_pathology_ai-main\corn_pathology_ai-main\data\Blight\Corn_Blight (1002).JPG,Corn_Blight (1002).JPG,Blight,0,256,256,JPEG,RGB,ae4ab3d66a430dcbf46d0a7e7767da39d4245d74be53bd1a628f81ffe4a0b3f2
C:\Users\admin\Downloads\Capstone Project\corn_pathology_ai-main\corn_pathology_ai-main\data\Blight\Corn_Blight (1003).JPG,Corn_Blight (1003).JPG,Blight,0,256,256,JPEG,RGB,e64be6f5bbbe45dd3e9c170a0ffe15d57cdde31566f809516ad33719a3a49d5f
C:\Users\admin\Downloads\Capstone Project\corn_pathology_ai-main\corn_pathology_ai-main\data\Blight\Corn_Blight (1004).JPG,Corn_Blight (1004).JPG,Blight,0,256,256,JPEG,RGB,4a4e59a8d8f9c7eb0c551976b53dbe5f3fe2946398c8dc361aa7e864fd7f5615
C:\Users\admin\Downloads\Capstone Project\corn_pathology_ai-main\corn_pathology_ai-main\data\Blight\Corn_Blight (1005).JPG,Corn_Blight (1005).JPG,Blight,0,256,256,JPEG,RGB,3a4c7f3fe4fce5cb01a5af2dfb237e909e38b3560f713ce3496896ca156de7b4
